AREACD,AREANM,Geography,Period,Observation,Measure,Unit,Observation Status
S12000029,South Lanarkshire,Local Authority District,2023-05,94.38,Percentage,%,
S12000030,Stirling,Local Authority District,2023-05,81.19,Percentage,%,
S12000039,West Dunbartonshire,Local Authority District,2023-05,97.24,Percentage,%,
S12000040,West Lothian,Local Authority District,2023-05,99.8,Percentage,%,
N09000001,Antrim and Newtownabbey,Local Authority District,2023-05,99.93,Percentage,%,
N09000002,"Armagh City, Banbridge and Craigavon",Local Authority District,2023-05,99.26,Percentage,%,
N09000003,Belfast,Local Authority District,2023-05,100.0,Percentage,%,
N09000004,Causeway Coast and Glens,Local Authority District,2023-05,96.33,Percentage,%,
N09000005,Derry City and Strabane,Local Authority District,2023-05,91.85,Percentage,%,
N09000006,Fermanagh and Omagh,Local Authority District,2023-05,97.43,Percentage,%,
N09000007,Lisburn and Castlereagh,Local Authority District,2023-05,100.0,Percentage,%,
N09000008,Mid and East Antrim,Local Authority District,2023-05,97.89,Percentage,%,
N09000009,Mid Ulster,Local Authority District,2023-05,99.16,Percentage,%,
N09000010,"Newry, Mourne and Down",Local Authority District,2023-05,95.92,Percentage,%,
N09000011,Ards and North Down,Local Authority District,2023-05,99.99,Percentage,%,
